x_gyro,y_gyro,z_gyro,time
0.03540039,0.013977051,0.0040740967,1508224066401
-0.026382446,-0.015853882,0.010467529,1508224066438
-0.0040130615,0.0022583008,0.005142212,1508224066460
0.0077056885,0.026763916,8.8500977E-4,1508224066491
-0.028503418,0.010772705,0.005142212,1508224066517
-0.011459351,-0.03289795,0.018997192,1508224066543
0.0077056885,-0.026504517,0.005142212,1508224066565
0.038604736,0.018234253,-0.015090942,1508224066597
0.025817871,0.0054473877,-0.0076446533,1508224066623
0.002380371,-0.036087036,-0.002319336,1508224066649
-0.0072021484,-0.008392334,0.0030212402,1508224066675
0.002380371,0.010772705,0.0040740967,1508224066707
0.008773804,0.0043945312,0.005142212,1508224066728
2.4414062E-4,-0.008392334,0.014724731,1508224066754
0.0045166016,-0.015853882,0.0072784424,1508224066790
-8.087158E-4,0.006515503,-0.012969971,1508224066817
-0.010406494,0.007583618,8.8500977E-4,1508224066843
-0.013595581,-0.02331543,0.001953125,1508224066863
-0.009338379,0.0043945312,-0.006576538,1508224066890
0.005584717,-0.0073242188,-0.006576538,1508224066916
0.0066375732,-9.460449E-4,8.8500977E-4,1508224066945
-0.013595581,0.03527832,8.8500977E-4,1508224066970
-0.027450562,0.0256958,-0.0044403076,1508224066986
0.010910034,0.017166138,8.8500977E-4,1508224067017
0.0513916,0.036346436,0.009399414,1508224067033
-8.087158E-4,-0.012649536,-0.019363403,1508224067059
-0.055145264,-0.06484985,-0.02041626,1508224067080
-0.047683716,-0.0030670166,-0.023620605,1508224067107
-0.014663696,0.07043457,-0.03640747,1508224067133
0.009841919,0.05657959,0.017929077,1508224067162
-0.019989014,-0.010528564,-1.8310547E-4,1508224067183
-0.038101196,-0.0019989014,8.8500977E-4,1508224067198
-0.027450562,-0.004135132,-1.8310547E-4,1508224067219
0.022628784,0.003326416,8.8500977E-4,1508224067242
0.038604736,-0.0019989014,0.0030212402,1508224067263
0.011962891,-0.016921997,0.005142212,1508224067294
0.015167236,0.012908936,0.001953125,1508224067334
0.017303467,0.006515503,-0.0076446533,1508224067361
-0.008270264,-0.019042969,-0.0044403076,1508224067381
0.013031006,-0.031829834,0.0030212402,1508224067409
-0.001876831,0.008651733,-0.02041626,1508224067453
-0.017852783,0.0011901855,-0.027877808,1508224067484
0.022628784,0.003326416,-0.009765625,1508224067515
-0.0072021484,-0.016921997,-0.01083374,1508224067536
-0.008270264,-0.015853882,-0.016159058,1508224067562
0.018356323,-0.013717651,-0.015090942,1508224067583
0.011962891,0.0022583008,-0.014038086,1508224067615
-0.0050811768,0.018234253,-0.0012512207,1508224067637
-0.022125244,0.01184082,-0.0012512207,1508224067658
-0.021057129,0.015045166,-0.0012512207,1508224067679
0.0077056885,0.003326416,0.016860962,1508224067710
0.015167236,0.0054473877,0.014724731,1508224067731
0.011962891,0.028884888,0.010467529,1508224067752
-0.026382446,-0.014785767,0.01260376,1508224067778
-0.021057129,-0.01159668,0.013671875,1508224067799
0.013031006,0.0043945312,-0.0033721924,1508224067826
0.002380371,0.021438599,-0.009765625,1508224067841
-0.029571533,0.013977051,-0.0033721924,1508224067862
-0.045547485,-0.022247314,8.8500977E-4,1508224067884
-0.05407715,-0.012649536,-0.02255249,1508224067916
-0.16487122,-0.09681702,-0.04812622,1508224067936
-0.38856506,-0.2672577,-0.049179077,1508224067957
-0.5909729,-0.35673523,-0.044921875,1508224067978
-0.28097534,-0.17883301,0.028579712,1508224068010
-0.061538696,0.04699707,0.0115356445,1508224068037
-0.15527344,-0.069122314,0.0030212402,1508224068058
-0.4098816,-0.3183899,0.03390503,1508224068085
-0.5430298,-0.38230896,0.017929077,1508224068111
-0.13290405,-0.106399536,0.054153442,1508224068142
0.17602539,0.09387207,0.040298462,1508224068159
0.16963196,0.14074707,0.008346558,1508224068185
0.07376099,0.06404114,0.014724731,1508224068206
0.03753662,-0.024368286,0.02218628,1508224068227
0.07376099,0.0022583008,0.009399414,1508224068243
0.11956787,0.03527832,-0.0044403076,1508224068265
0.09825134,0.07043457,-0.0119018555,1508224068292
0.059906006,0.024627686,0.008346558,1508224068318
-8.087158E-4,0.013977051,0.005142212,1508224068350
-0.0423584,0.050201416,8.8500977E-4,1508224068371
0.05883789,0.081085205,0.021118164,1508224068403
0.08547974,0.083221436,-0.009765625,1508224068440
0.013031006,-0.010528564,-0.0119018555,1508224068462
-0.021057129,-0.03715515,0.006210327,1508224068488
0.06629944,0.016113281,-1.8310547E-4,1508224068524
0.08547974,0.090667725,-0.0119018555,1508224068545
